iter	Passed	Remaining
0	59	59349
1	59	29891
2	60	20052
3	60	15115
4	61	12153
5	61	10183
6	61	8776
7	62	7721
8	62	6901
9	63	6246
10	63	5709
11	63	5266
12	64	4886
13	64	4560
14	65	4278
15	65	4029
16	65	3811
17	66	3617
18	66	3442
19	67	3286
20	67	3144
21	67	3021
22	68	2905
23	68	2802
24	69	2704
25	69	2613
26	70	2528
27	70	2449
28	70	2376
29	71	2307
30	71	2242
31	72	2182
32	72	2125
33	72	2071
34	73	2020
35	73	1973
36	74	1928
37	74	1886
38	74	1845
39	75	1806
40	75	1770
41	76	1734
42	76	1701
43	76	1671
44	77	1642
45	77	1613
46	78	1584
47	78	1557
48	78	1531
49	79	1507
50	79	1484
51	80	1461
52	80	1439
53	80	1418
54	81	1398
55	81	1378
56	82	1361
57	82	1344
58	83	1328
59	83	1311
60	84	1295
61	84	1282
62	85	1268
63	85	1253
64	86	1240
65	86	1226
66	87	1213
67	87	1200
68	87	1187
69	88	1174
70	88	1161
71	89	1148
72	89	1136
73	89	1125
74	90	1114
75	90	1103
76	91	1093
77	91	1082
78	92	1072
79	92	1062
80	92	1053
81	93	1043
82	93	1032
83	93	1023
84	94	1014
85	94	1005
86	95	997
87	95	989
88	95	981
89	96	973
90	96	966
91	97	959
92	97	952
93	98	945
94	98	938
95	98	932
96	99	925
97	99	918
98	100	912
99	100	905
100	101	899
101	101	892
102	101	886
103	102	880
104	102	874
105	102	868
106	103	862
107	103	856
108	104	851
109	104	845
110	104	840
111	105	834
112	105	829
113	106	824
114	106	819
115	106	814
116	107	808
117	107	803
118	107	798
119	108	794
120	108	789
121	108	784
122	109	779
123	109	775
124	110	771
125	110	767
126	111	763
127	111	759
128	112	761
129	113	757
130	113	753
131	114	749
132	114	746
133	114	742
134	115	738
135	115	735
136	116	731
137	116	727
138	116	724
139	117	721
140	117	717
141	118	713
142	118	709
143	118	706
144	119	703
145	119	700
146	120	697
147	120	693
148	120	690
149	121	688
150	121	685
151	122	682
152	122	679
153	123	676
154	123	673
155	124	670
156	124	667
157	124	665
158	125	663
159	125	661
160	126	657
161	126	655
162	127	652
163	127	650
164	128	648
165	128	646
166	128	643
167	129	640
168	129	638
169	130	636
170	130	634
171	131	632
172	131	630
173	132	628
174	132	626
175	133	624
176	133	622
177	134	620
178	134	618
179	135	616
180	135	615
181	136	613
182	137	612
183	137	610
184	138	608
185	138	606
186	138	604
187	139	601
188	139	599
189	140	597
190	140	596
191	141	594
192	141	592
193	141	589
194	142	588
195	143	586
196	143	585
197	143	583
198	144	581
199	144	579
200	145	578
201	146	577
202	146	576
203	147	575
204	148	574
205	148	573
206	149	572
207	150	572
208	150	570
209	151	568
210	151	567
211	152	565
212	152	563
213	153	562
214	153	560
215	154	559
216	154	557
217	155	556
218	155	554
219	156	553
220	156	552
221	157	551
222	157	550
223	158	549
224	158	547
225	159	545
226	159	544
227	160	543
228	160	541
229	161	539
230	161	537
231	162	536
232	162	534
233	162	532
234	163	530
235	163	529
236	163	527
237	164	525
238	164	523
239	165	522
240	165	521
241	166	520
242	166	519
243	167	518
244	167	517
245	168	516
246	169	515
247	169	514
248	170	512
249	170	511
250	171	510
251	171	509
252	172	508
253	172	506
254	173	505
255	173	505
256	174	504
257	175	504
258	176	503
259	176	503
260	177	502
261	178	501
262	178	500
263	179	499
264	179	498
265	180	496
266	180	495
267	180	494
268	181	492
269	181	491
270	182	490
271	182	489
272	183	488
273	184	487
274	184	486
275	185	486
276	185	484
277	186	483
278	186	482
279	187	482
280	188	481
281	188	480
282	189	479
283	189	478
284	190	477
285	190	476
286	191	475
287	191	474
288	192	472
289	192	471
290	192	470
291	193	468
292	193	467
293	194	466
294	194	465
295	195	464
296	195	463
297	196	462
298	197	462
299	197	461
300	198	460
301	198	459
302	199	458
303	199	457
304	200	456
305	200	455
306	201	454
307	202	454
308	202	453
309	203	452
310	203	451
311	204	451
312	205	450
313	205	449
314	206	448
315	206	447
316	207	446
317	207	445
318	208	444
319	208	443
320	209	443
321	210	442
322	210	441
323	211	441
324	211	440
325	212	439
326	213	438
327	213	438
328	214	437
329	215	436
330	215	435
331	216	435
332	216	434
333	217	433
334	217	432
335	218	432
336	219	432
337	220	431
338	220	430
339	221	429
340	221	428
341	222	428
342	222	427
343	223	426
344	224	425
345	224	424
346	225	424
347	225	423
348	226	422
349	227	422
350	227	421
351	228	420
352	228	419
353	229	418
354	230	418
355	231	418
356	231	417
357	232	416
358	232	416
359	233	415
360	234	414
361	235	414
362	235	413
363	236	413
364	237	412
365	237	412
366	238	411
367	238	410
368	239	410
369	240	409
370	240	408
371	241	407
372	241	406
373	242	406
374	243	405
375	243	404
376	244	404
377	245	403
378	245	402
379	246	401
380	246	400
381	247	399
382	247	399
383	248	397
384	248	396
385	248	395
386	249	394
387	249	393
388	249	392
389	250	391
390	250	390
391	250	389
392	251	388
393	251	387
394	252	386
395	252	385
396	253	384
397	254	384
398	254	383
399	255	382
400	255	381
401	256	380
402	256	379
403	256	378
404	257	378
405	258	377
406	258	377
407	259	376
408	259	375
409	260	374
410	260	374
411	261	373
412	262	372
413	262	371
414	263	370
415	263	369
416	263	368
417	263	367
418	264	366
419	264	365
420	265	364
421	265	363
422	265	362
423	266	361
424	266	360
425	267	359
426	267	359
427	267	358
428	268	357
429	268	356
430	269	355
431	270	355
432	270	354
433	271	353
434	271	352
435	271	351
436	272	350
437	272	350
438	273	349
439	273	348
440	274	347
441	274	346
442	274	345
443	275	344
444	275	343
445	275	342
446	276	341
447	276	340
448	276	339
449	277	338
450	277	337
451	277	336
452	278	336
453	278	335
454	279	334
455	279	333
456	280	332
457	280	332
458	281	331
459	281	330
460	281	329
461	282	328
462	282	327
463	283	327
464	283	326
465	284	325
466	284	325
467	285	324
468	286	323
469	286	323
470	287	322
471	287	321
472	288	321
473	288	320
474	289	319
475	289	318
476	289	317
477	290	316
478	290	315
479	290	314
480	290	313
481	291	313
482	291	312
483	292	311
484	292	310
485	292	309
486	293	308
487	293	308
488	294	307
489	294	306
490	295	305
491	295	305
492	295	304
493	296	303
494	296	302
495	297	302
496	298	302
497	298	301
498	299	300
499	299	299
500	300	299
501	300	298
502	301	297
503	301	296
504	301	295
505	302	295
506	302	294
507	303	293
508	303	292
509	303	291
510	304	291
511	304	290
512	305	289
513	305	288
514	305	287
515	306	287
516	306	286
517	306	285
518	307	284
519	307	284
520	308	283
521	308	282
522	309	282
523	309	281
524	310	281
525	311	280
526	311	279
527	312	279
528	312	278
529	312	277
530	313	276
531	313	276
532	314	275
533	314	274
534	315	274
535	316	273
536	316	272
537	317	272
538	317	271
539	318	270
540	318	270
541	319	269
542	319	269
543	320	268
544	320	267
545	321	267
546	321	266
547	322	265
548	322	265
549	323	264
550	323	263
551	324	263
552	324	262
553	325	262
554	326	261
555	326	260
556	327	260
557	327	259
558	327	258
559	327	257
560	328	256
561	328	256
562	329	255
563	329	254
564	329	253
565	330	253
566	330	252
567	330	251
568	331	250
569	331	250
570	331	249
571	332	248
572	332	247
573	332	246
574	333	246
575	333	245
576	333	244
577	334	244
578	334	243
579	335	242
580	335	242
581	336	241
582	336	240
583	337	240
584	337	239
585	338	238
586	339	238
587	339	238
588	340	237
589	340	236
590	341	236
591	342	235
592	342	235
593	343	234
594	343	233
595	343	233
596	344	232
597	344	231
598	344	230
599	345	230
600	345	229
601	345	228
602	346	227
603	346	227
604	346	226
605	347	225
606	347	224
607	347	224
608	348	223
609	348	222
610	348	222
611	349	221
612	349	220
613	350	220
614	350	219
615	351	218
616	351	218
617	352	217
618	353	217
619	353	216
620	353	216
621	354	215
622	354	214
623	355	214
624	355	213
625	356	212
626	356	212
627	356	211
628	357	210
629	357	209
630	357	209
